# Brainoil Adjacent
# Target: bands/tracks with the filthy sludge + crust/hardcore attack of Brainoil's 2003 self-titled LP.
# Favor blown-out riffs, hostile vocals, punk momentum, feedback, and abrupt tempo changes over polished doom.

# Bay Area / West Coast sludge-crust DNA
Dystopia | Stress Builds Character
Dystopia | Hands That Mold
Dystopia | Ignorance of Pride
Noothgrush | Erode the Person
Noothgrush | Oil Removed
Noothgrush | Flee from Hunger and Disease
His Hero Is Gone | Like Weeds
His Hero Is Gone | Chain of Command

# Filthy sludge with enough punk velocity to stay close to Brainoil
Cavity | Set in Cinders
Cavity | Taint and Abandon
Cavity | Black Snake
Buzzov•en | Unwilling to Explain
Buzzov•en | Done
Buzzov•en | Grit
Eyehategod | Sister Fucker (Pt. I) - remastered 2007
Eyehategod | Jack Ass In the Will of God
Iron Monkey | Supagorgonizer
Iron Monkey | House Anxiety

# Slower/heavier relatives that preserve the ugliness and abrasion
Grief | World of Hurt
Grief | Ruined
Fistula | Too Many Devils and Drugs
Fistula | Loyal To The Foil
Meth Drinker | Combat Shock
Meth Drinker | Skull Smashing Concrete
Corrupted | Inactive

# Crust-sludge crossover with the same diseased atmosphere
Sea of Deprivation | Eco-Catastrophe
Sea of Deprivation | The Cold Hand of Reality
Sea of Deprivation | You Fucking Jerk
