# One track per line: Artist | Title
# Original grind/sludge spine
Agoraphobic Nosebleed | Not a Daughter
Soilent Green | It Was Just an Accident
Soilent Green | Build Fear
Iron Monkey | Supergorgonizer
Cavity | 9 Fingers on the Spider
Yautja | Catastrophic
Yautja | Undesirables
Gaza | The Meat of a Leg Joint
Brainoil | Dark Eyes of My Past
Dystopia | Hands That Mold
Agoraphobic Nosebleed | Half Dead
Pig Destroyer | Red Tar
Beggar | Blood Moon
16 | Me and the Dog Die Together

# NOLA sludge / big payoff riffs
Crowbar | Planets Collide
Crowbar | To Build a Mountain
Crowbar | The Lasting Dose
Eyehategod | Blank
Eyehategod | New Orleans Is the New Vietnam
DOWN | Bury Me in Smoke
DOWN | Lifer
DOWN | Eyes of the South
Acid Bath | The Blue
Acid Bath | Bleed Me an Ocean
Acid Bath | The Morticians Flame

# Sludge that still moves
Mastodon | Mother Puncher
Mastodon | March of the Fire Ants
Mastodon | Where Strides the Behemoth
High On Fire | Rumors Of War
High On Fire | Fury Whip
Kylesa | Scapegoat
Kylesa | Running Red
Weedeater | God Luck and Good Speed
Weedeater | Wizard Fight
Black Tusk | Red Eyes, Black Skies
Mantar | Hang 'Em Low (So the Rats Can Get 'Em)
Black Cobra | One Nine
Rwake | Crooked Rivers
Grief | I Hate You

# Groove / hardcore crossover edge
Corrosion Of Conformity | Vote with a Bullet
Corrosion Of Conformity | Albatross
Nailbomb | Cockroaches
Nailbomb | Guerrillas
Superjoint | Sickness
Superjoint | Fuck Your Enemy
Pantera | Strength Beyond Strength
Melvins | Night Goat
Melvins | Honey Bucket
