# Southern Chunk
# Description: Heavy, chunky, driving riffs with Southern/blues twang — groove-first sludge, stoner metal, dirt metal, and riff-heavy hardcore built around Droids Attack, Kuyper, and Facedowninshit.
# Target: swinging/chugging riffs, bluesy or Southern phrasing, hard-driving rhythm sections, grit, and momentum.
# Avoid: sleepy doom, polished radio stoner rock, and tracks that lose the groove for atmosphere alone.

# Anchors
Droids Attack | Mashenomak
Droids Attack | Steven Seagal
Kuyper | Limestone Branch
Facedowninshit | Fucked

# Closest southern-fried dirt / sludge lane
Facedowninshit | NPON
Facedowninshit | Ten Strip
Facedowninshit | Association of Known Undesirables
Beaten Back to Pure | Smothered in Sundress
Beaten Back to Pure | Where the Sewer Meets the Sea
Beaten Back to Pure | Vertigo
Beaten Back to Pure | Running Out of Neck
Sourvein | Ghetto Angel
Sourvein | Dirty South
Hail!Hornet | Shoot the Pigs
Hail!Hornet | Gifted Horse
Weedeater | God Luck and Good Speed
Weedeater | Wizard Fight
Weedeater | Jason... the Dragon

# Chunky, driving groove with twang / swing
Droids Attack | Blueshammer
Droids Attack | The Great Wall of 'Gina
Droids Attack | Malachi Crunch
Lo-Pan | Chichen Itza
Lo-Pan | El Dorado
Wo Fat | The Conjuring
Wo Fat | Enter the Riffian
Roadsaw | Thinking of Me
Roadsaw | Long in the Tooth
Borracho | Concentric Circles
Borracho | Mob Gathering
Gozu | Bald Bull
Gozu | Traci Lords

# Heavier / nastier but still moving
Black Tusk | Red Eyes, Black Skies
Black Tusk | Set the Dial to Your Doom
Kylesa | Scapegoat
Kylesa | Running Red
Rwake | Crooked Rivers
Eyehategod | New Orleans Is the New Vietnam
Outlaw Order | Relive the Crime
Leechmilk | Imbalance
Cavity | 9 Fingers on the Spider
Javelina | Dirt Merchant

# Riff-forward outliers that preserve the stomp
Red Fang | Prehistoric Dog
Red Fang | Wires
High On Fire | Rumors of War
High On Fire | Fury Whip
Alabama Thunderpussy | Words of the Dying Man
Baroness | Isak
Baroness | Wanderlust
